timestamp_pc;measurement_number;refractive_index;temperature;brix;concentration;f_t;device_date;device_time
2026-09-17 11:11:11.572;157;1.33260;24.58;0.04;0.059;0.0149;08/23/05;06:23
2026-09-17 11:11:26.774;158;1.33262;24.58;0.06;0.073;0.0183;08/23/05;06:24
2026-09-17 11:11:41.989;159;1.33260;24.58;0.04;0.059;0.0149;08/23/05;06:24
2026-09-17 11:11:57.166;160;1.33260;24.58;0.04;0.059;0.0149;08/23/05;06:24
2026-09-17 11:12:12.405;161;1.33260;24.58;0.04;0.059;0.0149;08/23/05;06:24
2026-09-17 11:12:27.571;162;1.33260;24.58;0.04;0.059;0.0149;08/23/05;06:25
2026-09-17 11:12:42.819;163;1.33260;24.56;0.04;0.059;0.0149;08/23/05;06:25
2026-09-17 11:12:58.054;164;1.33261;24.56;0.06;0.066;0.0166;08/23/05;06:25
2026-09-17 11:13:13.271;165;1.33260;24.56;0.04;0.059;0.0149;08/23/05;06:25
2026-09-17 11:13:28.487;166;1.33262;24.54;0.06;0.073;0.0183;08/23/05;06:26
2026-09-17 11:13:43.687;167;1.33261;24.58;0.06;0.066;0.0166;08/23/05;06:26
2026-09-17 11:13:58.886;168;1.33260;24.66;0.06;0.059;0.0149;08/23/05;06:26
2026-09-17 11:14:14.087;169;1.33261;24.60;0.06;0.066;0.0166;08/23/05;06:26
2026-09-17 11:14:29.320;170;1.33264;24.58;0.08;0.087;0.0217;08/23/05;06:27
2026-09-17 11:14:44.511;171;1.33261;24.58;0.06;0.066;0.0166;08/23/05;06:27
2026-09-17 11:14:59.708;172;1.33262;24.56;0.06;0.073;0.0183;08/23/05;06:27
2026-09-17 11:15:14.934;173;1.33263;24.54;0.06;0.080;0.0200;08/23/05;06:27
2026-09-17 11:15:30.141;174;1.33267;24.54;0.10;0.107;0.0268;08/23/05;06:28
2026-09-17 11:15:45.339;175;1.33268;24.54;0.10;0.114;0.0285;08/23/05;06:28
2026-09-17 11:16:00.552;176;1.33273;24.52;0.14;0.148;0.0371;08/23/05;06:28
2026-09-17 11:16:15.793;177;1.33280;24.52;0.18;0.196;0.0491;08/23/05;06:28
2026-09-17 11:16:30.988;178;1.33286;24.52;0.22;0.237;0.0594;08/23/05;06:29
2026-09-17 11:16:46.218;179;1.33299;24.52;0.32;0.326;0.0816;08/23/05;06:29
2026-09-17 11:17:01.384;180;1.33313;24.52;0.42;0.422;0.1056;08/23/05;06:29
2026-09-17 11:17:16.617;181;1.33329;24.52;0.52;0.532;0.1330;08/23/05;06:29
2026-09-17 11:17:31.861;182;1.33344;24.52;0.64;0.634;0.1586;08/23/05;06:30
2026-09-17 11:17:47.064;183;1.33364;24.52;0.76;0.771;0.1929;08/23/05;06:30
2026-09-17 11:18:02.311;184;1.33387;24.52;0.92;0.929;0.2322;08/23/05;06:30
2026-09-17 11:18:17.457;185;1.33409;24.50;1.08;1.079;0.2699;08/23/05;06:30
2026-09-17 11:18:32.741;186;1.33433;24.50;1.26;1.244;0.3110;08/23/05;06:31
2026-09-17 11:18:47.879;187;1.33459;24.50;1.44;1.422;0.3555;08/23/05;06:31
2026-09-17 11:19:03.096;188;1.33486;24.50;1.62;1.607;0.4017;08/23/05;06:31
2026-09-17 11:19:18.371;189;1.33509;24.48;1.78;1.764;0.4410;08/23/05;06:31
2026-09-17 11:19:33.536;190;1.33535;24.48;1.96;1.942;0.4855;08/23/05;06:32
2026-09-17 11:19:48.773;191;1.33558;24.48;2.12;2.100;0.5249;08/23/05;06:32
2026-09-17 11:20:03.942;192;1.33581;24.48;2.28;2.257;0.5643;08/23/05;06:32
2026-09-17 11:20:19.196;193;1.33602;24.48;2.42;2.401;0.6002;08/23/05;06:32
2026-09-17 11:20:34.372;194;1.33622;24.48;2.56;2.538;0.6344;08/23/05;06:33
2026-09-17 11:20:49.611;195;1.33637;24.48;2.66;2.640;0.6601;08/23/05;06:33
2026-09-17 11:21:04.834;196;1.33653;24.50;2.78;2.750;0.6875;08/23/05;06:33
2026-09-17 11:21:20.072;197;1.33669;24.50;2.88;2.860;0.7149;08/23/05;06:33
2026-09-17 11:21:35.214;198;1.33682;24.50;2.98;2.949;0.7371;08/23/05;06:34
2026-09-17 11:21:50.429;199;1.33691;24.50;3.04;3.010;0.7525;08/23/05;06:34
2026-09-17 11:22:05.662;200;1.33698;24.50;3.08;3.058;0.7645;08/23/05;06:34
2026-09-17 11:22:20.793;201;1.33710;24.50;3.16;3.140;0.7850;08/23/05;06:34
2026-09-17 11:22:36.084;202;1.33714;24.52;3.20;3.168;0.7919;08/23/05;06:35
2026-09-17 11:22:51.249;203;1.33722;24.52;3.24;3.222;0.8056;08/23/05;06:35
