timestamp_pc;measurement_number;refractive_index;temperature;brix;concentration;f_t;device_date;device_time
2026-09-17 11:23:06.461;204;1.33724;24.52;3.26;3.236;0.8090;08/23/05;06:35
2026-09-17 11:23:21.734;205;1.33726;24.52;3.28;3.250;0.8124;08/23/05;06:35
2026-09-17 11:23:36.907;206;1.33728;24.52;3.30;3.263;0.8159;08/23/05;06:36
2026-09-17 11:23:52.156;207;1.33730;24.52;3.30;3.277;0.8193;08/23/05;06:36
2026-09-17 11:24:07.321;208;1.33727;24.52;3.28;3.257;0.8141;08/23/05;06:36
2026-09-17 11:24:22.620;209;1.33725;24.52;3.28;3.243;0.8107;08/23/05;06:36
2026-09-17 11:24:37.793;210;1.33726;24.52;3.28;3.250;0.8124;08/23/05;06:37
2026-09-17 11:24:52.960;211;1.33724;24.52;3.26;3.236;0.8090;08/23/05;06:37
2026-09-17 11:25:08.226;212;1.33724;24.54;3.26;3.236;0.8090;08/23/05;06:37
2026-09-17 11:25:23.477;213;1.33722;24.54;3.26;3.222;0.8056;08/23/05;06:37
2026-09-17 11:25:38.609;214;1.33723;24.54;3.26;3.229;0.8073;08/23/05;06:38
2026-09-17 11:25:53.875;215;1.33720;24.54;3.24;3.209;0.8022;08/23/05;06:38
2026-09-17 11:26:09.025;216;1.33720;24.54;3.24;3.209;0.8022;08/23/05;06:38
2026-09-17 11:26:24.274;217;1.33719;24.54;3.22;3.202;0.8005;08/23/05;06:39
2026-09-17 11:26:39.491;218;1.33718;24.56;3.22;3.195;0.7987;08/23/05;06:39
2026-09-17 11:26:54.707;219;1.33716;24.56;3.22;3.181;0.7953;08/23/05;06:39
2026-09-17 11:27:09.924;220;1.33714;24.56;3.20;3.168;0.7919;08/23/05;06:39
2026-09-17 11:27:25.107;221;1.33714;24.56;3.20;3.168;0.7919;08/23/05;06:40
2026-09-17 11:27:40.290;222;1.33714;24.58;3.20;3.168;0.7919;08/23/05;06:40
2026-09-17 11:27:55.556;223;1.33714;24.58;3.20;3.168;0.7919;08/23/05;06:40
2026-09-17 11:28:10.752;224;1.33711;24.58;3.18;3.147;0.7868;08/23/05;06:40
2026-09-17 11:28:25.977;225;1.33713;24.58;3.20;3.161;0.7902;08/23/05;06:41
2026-09-17 11:28:41.198;226;1.33712;24.60;3.18;3.154;0.7885;08/23/05;06:41
