timestamp_pc;measurement_number;refractive_index;temperature;brix;concentration;f_t;device_date;device_time
2026-09-08 09:23:08.401;6;1.33311;22.96;0.30;0.409;0.1021;08/23/05;04:37
2026-09-08 09:23:23.766;7;1.33319;22.96;0.34;0.463;0.1158;08/23/05;04:37
2026-09-08 09:23:39.075;8;1.33323;22.96;0.38;0.491;0.1227;08/23/05;04:38
2026-09-08 09:23:54.396;9;1.33328;22.96;0.42;0.525;0.1312;08/23/05;04:38
2026-09-08 09:24:09.737;10;1.33331;22.96;0.44;0.545;0.1364;08/23/05;04:38
2026-09-08 09:24:24.965;11;1.33336;22.96;0.46;0.580;0.1449;08/23/05;04:38
2026-09-08 09:24:40.283;12;1.33338;22.98;0.48;0.593;0.1484;08/23/05;04:39
2026-09-08 09:24:55.581;13;1.33341;22.98;0.50;0.614;0.1535;08/23/05;04:39
2026-09-08 09:25:10.943;14;1.33344;22.98;0.52;0.634;0.1586;08/23/05;04:39
2026-09-08 09:25:26.188;15;1.33345;22.98;0.52;0.641;0.1603;08/23/05;04:39
2026-09-08 09:25:41.481;16;1.33344;22.98;0.52;0.634;0.1586;08/23/05;04:40
2026-09-08 09:25:56.749;17;1.33344;23.00;0.52;0.634;0.1586;08/23/05;04:40
2026-09-08 09:26:12.136;18;1.33344;23.00;0.52;0.634;0.1586;08/23/05;04:40
2026-09-08 09:26:27.463;19;1.33344;23.02;0.52;0.634;0.1586;08/23/05;04:40
2026-09-08 09:26:42.712;20;1.33343;23.02;0.52;0.628;0.1569;08/23/05;04:41
2026-09-08 09:26:58.029;21;1.33342;23.02;0.52;0.621;0.1552;08/23/05;04:41
