timestamp_pc;measurement_number;refractive_index;temperature;brix;device_date;device_time
2026-08-27 15:11:04.451;37;1.33272;23.64;0.06;08/23/05;04:52
2026-08-27 15:12:05.253;41;1.33272;23.66;0.06;08/23/05;04:53
2026-08-27 15:12:20.483;42;1.33273;23.64;0.06;08/23/05;04:54
2026-08-27 15:12:35.727;43;1.33270;23.66;0.06;08/23/05;04:54
2026-08-27 15:12:50.963;44;1.33270;23.68;0.06;08/23/05;04:54
2026-08-27 15:13:06.185;45;1.33269;23.70;0.04;08/23/05;04:54
2026-08-27 15:13:21.442;46;1.33268;23.70;0.04;08/23/05;04:55
2026-08-27 15:13:36.666;47;1.33272;23.70;0.06;08/23/05;04:55
2026-08-27 15:13:51.869;48;1.33271;23.70;0.06;08/23/05;04:55
2026-08-27 15:14:07.131;49;1.36556;23.74;21.32;08/23/05;04:55
2026-08-27 15:14:22.381;50;1.37160;23.74;24.86;08/23/05;04:56
2026-08-27 15:14:37.588;51;1.37179;23.78;24.98;08/23/05;04:56
2026-08-27 15:14:52.853;52;1.37180;23.82;24.98;08/23/05;04:56
2026-08-27 15:15:08.058;53;1.37181;23.74;24.98;08/23/05;04:56
2026-08-27 15:15:23.309;54;1.37176;23.70;24.96;08/23/05;04:57
2026-08-27 15:15:38.533;55;1.35347;23.68;13.88;08/23/05;04:57
2026-08-27 15:15:53.781;56;1.33676;23.66;2.88;08/23/05;04:57
2026-08-27 15:16:08.998;57;1.33469;23.66;1.44;08/23/05;04:57
2026-08-27 15:16:24.224;58;1.33401;23.68;0.98;08/23/05;04:58
2026-08-27 15:16:39.439;59;1.33387;23.70;0.88;08/23/05;04:58
2026-08-27 15:16:54.669;60;1.33314;23.72;0.36;08/23/05;04:58
2026-08-27 15:17:09.895;61;1.33298;23.74;0.26;08/23/05;04:58
2026-08-27 15:17:25.126;62;1.33293;23.76;0.22;08/23/05;04:59
2026-08-27 15:17:40.338;63;1.33285;23.78;0.16;08/23/05;04:59
2026-08-27 15:17:55.551;64;1.33282;23.78;0.14;08/23/05;04:59
2026-08-27 15:18:10.753;65;1.33280;23.80;0.14;08/23/05;04:60
2026-08-27 15:18:26.010;66;1.33277;23.80;0.10;08/23/05;04:60
2026-08-27 15:18:41.204;67;1.33286;23.82;0.18;08/23/05;04:60
2026-08-27 15:18:56.377;68;1.33336;23.82;0.52;08/23/05;04:60
2026-08-27 15:19:11.671;69;1.33348;23.82;0.60;08/23/05;04:61
2026-08-27 15:19:26.874;70;1.33359;23.84;0.68;08/23/05;04:61
2026-08-27 15:19:42.028;71;1.33609;23.86;2.42;08/23/05;04:61
2026-08-27 15:19:57.210;72;1.33468;23.86;1.44;08/23/05;04:61
2026-08-27 15:20:12.458;73;1.33425;23.86;1.16;08/23/05;04:62
2026-08-27 15:20:27.708;74;1.33405;23.86;1.00;08/23/05;04:62
2026-08-27 15:20:42.928;75;1.33386;23.84;0.88;08/23/05;04:62
2026-08-27 15:20:58.176;76;1.33376;23.82;0.80;08/23/05;04:62
2026-08-27 15:21:13.422;77;1.33370;23.80;0.76;08/23/05;04:63
2026-08-27 15:21:28.617;78;1.33366;23.80;0.74;08/23/05;04:63
2026-08-27 15:21:43.841;79;1.33365;23.78;0.72;08/23/05;04:63
2026-08-27 15:21:59.049;80;1.33363;23.78;0.72;08/23/05;04:63
2026-08-27 15:22:14.265;81;1.33363;23.78;0.72;08/23/05;05:00
2026-08-27 15:22:29.458;82;1.33364;23.78;0.72;08/23/05;05:00
2026-08-27 15:22:44.659;83;1.33362;23.78;0.70;08/23/05;05:00
2026-08-27 15:22:59.932;84;1.33364;23.80;0.72;08/23/05;05:00
2026-08-27 15:23:15.122;85;1.33362;23.80;0.70;08/23/05;05:01
2026-08-27 15:23:30.333;86;1.33361;23.82;0.70;08/23/05;05:01
2026-08-27 15:23:45.628;87;1.33360;23.82;0.70;08/23/05;05:01
2026-08-27 15:24:00.840;88;1.33361;23.84;0.70;08/23/05;05:01
2026-08-27 15:24:16.025;89;1.33363;23.88;0.72;08/23/05;05:02
