timestamp_pc;measurement_number;refractive_index;temperature;brix;concentration;f_t;device_date;device_time
2026-09-17 09:31:23.289;39;1.33274;24.40;0.14;0.155;0.0388;08/23/05;04:43
2026-09-17 09:31:38.422;40;1.33275;24.40;0.14;0.162;0.0405;08/23/05;04:44
2026-09-17 09:31:53.714;41;1.33274;24.40;0.14;0.155;0.0388;08/23/05;04:44
2026-09-17 09:32:08.982;42;1.33273;24.42;0.12;0.148;0.0371;08/23/05;04:44
2026-09-17 09:32:24.202;43;1.33274;24.42;0.14;0.155;0.0388;08/23/05;04:45
2026-09-17 09:32:39.442;44;1.33275;24.42;0.14;0.162;0.0405;08/23/05;04:45
2026-09-17 09:32:54.584;45;1.33275;24.40;0.14;0.162;0.0405;08/23/05;04:45
2026-09-17 09:33:09.851;46;1.33275;24.40;0.14;0.162;0.0405;08/23/05;04:45
2026-09-17 09:33:24.988;47;1.33274;24.40;0.12;0.155;0.0388;08/23/05;04:46
2026-09-17 09:33:40.265;48;1.33276;24.40;0.14;0.169;0.0422;08/23/05;04:46
2026-09-17 09:33:55.500;49;1.33276;24.40;0.14;0.169;0.0422;08/23/05;04:46
2026-09-17 09:34:10.745;50;1.33274;24.40;0.14;0.155;0.0388;08/23/05;04:46
2026-09-17 09:34:25.983;51;1.33275;24.40;0.14;0.162;0.0405;08/23/05;04:47
2026-09-17 09:34:41.224;52;1.33275;24.40;0.14;0.162;0.0405;08/23/05;04:47
2026-09-17 09:34:56.459;53;1.33274;24.40;0.14;0.155;0.0388;08/23/05;04:47
2026-09-17 09:35:11.692;54;1.33276;24.40;0.14;0.169;0.0422;08/23/05;04:47
2026-09-17 09:35:26.925;55;1.33277;24.40;0.16;0.176;0.0440;08/23/05;04:48
2026-09-17 09:35:42.065;56;1.33274;24.40;0.14;0.155;0.0388;08/23/05;04:48
2026-09-17 09:35:57.352;57;1.33275;24.40;0.14;0.162;0.0405;08/23/05;04:48
2026-09-17 09:36:12.592;58;1.33276;24.40;0.14;0.169;0.0422;08/23/05;04:48
2026-09-17 09:36:27.826;59;1.33274;24.40;0.14;0.155;0.0388;08/23/05;04:49
2026-09-17 09:36:43.076;60;1.33276;24.40;0.14;0.169;0.0422;08/23/05;04:49
